Tag,Distance_Center,Nationality_Italy,Education_University,Nationality_UK,Nationality_Spain,POI_Restaurants_Hotels,POI_Education,Intercept
03_066,,,,,,,,0.24768707372321305
03_067,,,,,,,,0.24853156995146028
03_068,,,,,,,,0.23424036873933332
03_069,,,,,,,,0.22279345482946178
03_070,,,,,,,,0.20485338099187214
03_071,,,,,,,,0.19525482777458764
03_072,,,,,-0.2271435018391863,,,0.18547309988566227
03_073,,,,,-0.236847576239808,,,0.1665436528814614
03_074,,,,,-0.23294212733158487,,,0.15807696226483403
03_075,,,,,,,,0.16675243992584116
03_076,,,,,,,,0.1461108566434539
03_077,,,,,,,,
03_078,,,,,,,,
03_079,,,,,,,,
03_080,,,-0.19494665653958365,,,0.1701414764062416,,
03_081,,,-0.2025536838699228,,,,,
03_082,,,,,,,,
03_083,,,,,,,,
03_084,,,,,,,,
03_085,,,,,,,,
03_086,,,,,,,,
03_087,,,,,-0.2491252846030094,,,
03_088,,,,,-0.26863784765602905,,,
03_089,,,,,-0.269564569109974,,,0.14355690952661945
03_090,,,,,-0.25398998407525003,,,0.17188444013716508
03_091,,,,,-0.25652076206020524,,,0.1668359115508069
03_092,,,,,-0.2592342498506853,,,
03_093,,,,,,,,
03_094,,,,,-0.24441345094846298,,,0.15374984062850508
03_095,,,,,-0.24656979233345683,,,0.1751044347988478
03_096,,,,,-0.24635874739839603,,,0.1864009820071887
03_097,,,,,-0.23383742616083558,,,0.19777304629680093
03_098,,,,,,,,0.2162998832010881
03_099,,,,0.21679548882770688,,,,0.2233623154579285
03_100,,,,,,,,0.202797588706633
03_101,,,,0.21466027844926266,,,,0.2080934936706688
03_102,,,,0.21623873385205425,,,,0.21211486219182607
03_103,,,,,,,,0.19701692780262467
03_104,,,,0.2129769538859556,,,,0.1896154933769012
03_105,,,,,,,,0.17937326013351093
03_106,,,,,,,,
03_107,,,,,,,,
03_108,,,,,-0.24809715264851767,,,0.16322717566268566
03_109,,,,,-0.26972421084983544,,,
03_110,,,,,-0.281945761232666,,,
03_111,,,,,,,,
03_112,,,,,,,,
03_113,-0.548967728551933,,-0.304748356527906,,,,,
03_114,-0.6415284071734816,,-0.3288778067832108,,,,,
03_211,,,,,,,,0.3318517056809919
03_212,,,,,,,,0.3051926364671344
03_213,,,,,,,,0.29976164084533263
04_001,-0.6423051803728708,,-0.312063871401523,,,,,
04_002,-0.4692671329985163,,-0.27755051277250103,,,,,
04_003,-0.5378682742119151,,-0.28804546161260575,,,,,
04_004,-0.4364699511565205,,-0.2579439370201776,,,,,
04_005,,,,,-0.27074463485074235,,,
04_006,,,,,-0.2674222012492252,,,
04_007,,,-0.2416284560056926,,,,,
04_008,,,-0.2553560256017245,,,,,
04_009,,,-0.28464200614011,,,,,
04_010,,,-0.31267744255288543,,,,,
04_011,-0.41632019750225796,,-0.30264863467995107,,,,,
04_012,-0.5126610144352876,,-0.30530921098437114,,,,,
04_013,-0.6035319813409021,,-0.3087443960914611,,,,,
04_014,-0.7002076815865934,,-0.30097933457040627,,,,0.13477555632196975,
04_015,-0.6194331850590112,,-0.30218242274239493,,,,,
04_016,-0.7128030847162827,,-0.3215692136597754,,,0.1874781867343391,,
04_017,-0.7711212757549358,,-0.3143166808053045,,,0.20744131652943054,,
04_018,-0.821648248080261,,,,,0.25033309781364116,,
04_019,-0.8460120922928966,,,,,0.2663313331401824,,
04_020,-0.8180781143739281,,,,,0.22685276462653287,,
04_021,-0.8094917693204547,,,,,0.20600624901240522,0.1449858907971397,
04_022,-0.6426772267931291,,-0.31551314362334015,,,,0.1410163012615353,
04_023,-0.6725168675881389,,-0.3324892717070864,,,,0.15395692168693198,
04_024,-0.47171011001924723,,-0.424323337379884,,,,0.14564970388807397,
04_025,-0.4433249518317652,,-0.3590730066801138,,,,,
04_026,,,-0.3459596399190139,,,,,
04_027,-0.4198683655971631,,-0.3935796594707416,,,,,
04_028,,,-0.41029376743203305,,,,,
04_029,,,-0.4120805604905415,,,,,
04_030,,,-0.3486446405362713,,,,,
04_031,,,-0.304841272346976,,,,,
04_032,,,-0.23612115610626988,,,,,
04_033,,,-0.24248074569356082,,,,,
04_034,,,-0.27972914295683976,,,,,
04_035,,,-0.2287459684616036,,,,,
04_036,,,-0.3033988130835685,,,,,
04_037,,,-0.2548838737484081,,,,,
04_038,,,-0.25162019642141126,,,,,
04_039,,,-0.3079615723926755,,,0.1713588592942335,,
04_040,,,-0.25532074319911513,,,0.16897923289250175,,
04_041,,,-0.29494867163198524,,,0.179355903762482,,
04_042,,,-0.2586736057573129,,,0.17803183095868416,,
04_043,,,-0.3830126206267745,,,0.19181147141416618,,
04_044,,,-0.34204879204315264,,,0.19308908227799051,,
04_045,,,-0.35488566795128873,,,0.19867839727812095,,
04_046,,,-0.38023659382549846,,,0.1986894435659672,,
04_047,,,-0.42396152261075665,,,0.19860174700844146,,
04_048,,,-0.35988521650271704,,,,,
04_049,,,-0.4273470367478292,,,0.17890362569808083,,
04_050,,,-0.47156168135442256,,,,0.14181780409724426,
04_051,,,-0.4953006135094227,,,,0.14627256887424225,
04_052,,,-0.49881752865962764,,,0.16125678286509976,0.13505441584968464,
04_053,,,-0.4938600458972766,,,0.1797900825201526,,
04_054,,,-0.46521476189988326,,,0.1933647743812614,,
04_055,,,-0.5343188726882145,,,0.1666819946648217,0.14925768204006323,
04_056,,,-0.5374416023966226,,,0.1896937021331311,,
04_084,,,-0.37343738888847955,,,,,
05_001,,,-0.3509137175307845,,,0.2100419845270722,,-0.45616114337399627
05_002,,,-0.4291947956582202,0.2629041680273596,,,,
05_003,,,-0.4302878272942233,,,0.19957469403888597,,
05_004,,,-0.419746220293356,,,,0.16148988669864175,
05_005,,,-0.5192108175972854,,,0.1906194620976112,,
05_006,,,-0.5539839837419839,,,,0.17087354305701039,
05_007,,,-0.5154490639820962,,,,0.17232183645041252,
05_008,-0.48607940798605415,,-0.405634083376649,,,,0.21224677519963572,
05_009,,,-0.5098748340933322,,,,0.19488237056332114,
05_010,,,-0.49907631894541193,,,,0.2062931214966128,
05_011,-0.5904578503543879,,-0.41782399168623974,,,,0.2225601014326373,
05_012,-0.6119092861005926,,-0.3998453963406069,,,,0.21357247417252112,
05_013,-0.3905109219995091,,-0.5022003233407549,,,,0.20304498040614893,
05_014,,,-0.5245086959848612,,,,0.1764101450783908,
05_015,-0.4388186233210902,,-0.48004236281136603,,,,0.19141841871859858,
05_016,-0.4514814867758601,,-0.4686987328742767,,,,0.18124031953214398,
05_017,,,-0.515664233541292,,,0.1555753904980087,0.15602408241646817,
05_018,-0.4038226833947048,,-0.4767104577356015,,,,0.16417358180660038,
05_019,-0.5234306409554601,,-0.42607278101531193,,,,0.17155607503998319,
05_020,-0.6931342252988121,,-0.3386842517674038,,,,0.16957213941526425,
05_021,-0.796566267819962,,-0.2751790513012214,,,,0.16880313844719871,
05_022,-0.7432942298566093,,-0.30189938410773764,,,,0.18327445084126365,
05_023,-0.6619122688744434,,-0.3568295998310223,,,,0.1993444106879695,
05_024,-0.7929435991344066,,,,,,0.19556051114804388,
05_025,-0.8538257673236571,0.29186299146661815,,,,,0.2011235605935918,
05_026,-0.8667156884508636,0.30859783028960913,,,,,0.21526023575391295,
05_027,-0.8214520597683332,,,,,,0.2198057616665771,
05_028,-0.7230250320547428,,-0.3261971110870471,,,,0.2358302225242338,
05_029,-0.8096980958551865,,,,,,0.24029205619380972,
