Tag,Distance_Center,Nationality_Spain,Education_University,Nationality_Italy,Nationality_UK,POI_Restaurants_Hotels,Percentage_Age_65_Plus,Percentage_Age_0_14,POI_Clothing,POI_Daily_Others,Intercept
03_071,,,,,,,,,,,0.14154838621332821
03_072,,,,,,,,,,,0.13223771858704822
03_073,,,,,,0.16812179800715632,,,,,
03_074,,,,,,0.1718202601212198,,,,,
03_075,,,,,,0.17207591833802166,,,,,
03_076,,,,,,0.1783325637250941,,,,,
03_077,,,,,,0.18226574512748894,,,,,
03_078,,,,,,0.17825940891174408,,,,,
03_079,,,,,,0.18653069467031996,,-0.14964423863612208,,,
03_080,,,,,,0.19156675042280324,,-0.15521597217688302,,,
03_081,,,,,,0.18854932563039106,,-0.1528712183771331,,,
03_082,,,,,,0.18458024778122112,,,,,
03_083,,,,,,0.17832959956370276,,,,,
03_084,,,,,,0.17824284384329647,,,,,
03_085,,,,,,0.18283747463221808,,,,,
03_086,,,,,,0.1844745672244434,,,,,
03_087,,,,,,0.18391260597506537,,,,,
03_088,,,,,,0.18270794132002297,,,,,
03_089,,,,,,0.17522978547371865,,,,,
03_090,,,,,,,,,,,
03_091,,,,,,,,,,,
03_092,,,,,,0.17524613616708518,,,,,
03_093,,,,,,0.1775990286137731,,,,,
03_094,,,,,,0.17057727829217817,,,,,
03_095,,,,,,,,,,,
03_096,,,,,,,,,,,0.1367974675703048
03_097,,,,,,,,,,,0.1463172844472555
03_098,,,,,,,,,,,0.1674337366593393
03_099,,,,,,,,,,,0.1779367897267499
