Tag,Distance_Center,Nationality_Spain,Nationality_Italy,Nationality_UK,Percentage_Age_65_Plus,POI_Restaurants_Hotels,Education_University,Percentage_Age_0_14,Rent_Number_Flats,POI_Clothing,POI_Education,Intercept
02_087,,,,,,0.27215107721748344,,,,,,
02_088,,,,,,0.2712793706974978,,,,,,
02_089,,,,,,0.27324204247028494,,,,,,
02_090,,,,,,0.27598373022612205,,,,,,
02_091,,,,,,0.28669669751199744,,,,,,
02_092,,,,,,0.27376102367114225,,,,,,
02_093,,,,,,0.2685299728416307,,,,,,
02_094,,,,,,0.2619751347884675,,,,,,
02_095,,,,,,0.256126998030476,,,,,,
02_096,,,,,,0.2651331271595979,,,,,,
02_097,-0.3310470166496356,,,,,0.26817742690051116,,,,,,
02_098,,,,,,0.2759832129193904,,,,,,
02_099,-0.3386247491206713,,,,,0.2791997681273518,,,,,,
02_100,-0.3478307900450146,,,,,0.2813452576646552,,,,,,
02_101,-0.36329745166794186,,,,,0.2873770774686335,,,,,,
02_102,-0.37896382765564335,,,,,0.2810938574198495,,,,,,
02_103,-0.426021537949061,,,,,0.28811226605846607,,,,,,
02_104,-0.5202947550380371,,,,,0.27096162014771236,,,,,,
02_105,-0.44694461121041124,,,,,0.2739779158285917,,,,,,
02_106,-0.4538767403307527,,,,,0.25454755210315155,,,,,,
02_107,-0.522564181809936,,,,,0.24920592162001165,,,,,,
02_108,-0.5869156192645676,,,,,0.2433153267022619,,,,,,
02_109,-0.6470789505567395,,,,,0.22844676218461488,,,,,,
02_110,-0.5983617174573543,,,,,0.24637608690365004,,,,,,
02_111,-0.6534945753090609,,,,,0.2137394697826481,,,,,,
02_112,-0.621637795453983,,,,,0.19659387715263718,,,,,,
02_113,-0.616821248636759,,,,,0.2162635884072076,,,,,,
02_114,-0.5873544168207372,,,,,0.22051965245000277,,,,,,
02_115,-0.5253629289928125,,,,,0.23624006507106635,,,,,,
02_116,-0.4905512937590467,,,,,0.2594160029555792,,,,,,
02_117,-0.4527850185951746,,,,,0.2789029960683333,,,,,,
02_118,-0.37409168743399607,,,,,0.28004127108575383,,,,,,
02_119,-0.42480012789268345,,,,,0.2656707803647308,,,,,,
02_120,-0.4564571862214815,,,,,0.242657733082598,,,,,,
02_121,-0.391403198358887,,,,,0.25364270004814893,,,,,,
02_122,-0.48869038297473677,,,,,0.2166343618546618,,,,,,
02_123,-0.5465448882388103,,,,,0.2125806625439722,-0.257942700143949,,,,,
02_124,-0.5725457689232388,,,,,0.19170395581024677,-0.26330911948809815,,,,,
02_125,-0.5705739632946828,,,,,0.1831724100574844,,,,,,
02_126,-0.5316625845859895,,,,,,-0.2622890662561801,,,,,
02_127,-0.5291986244611704,,,,,,-0.2716257129605008,,,,,
02_128,-0.5029956831909829,,,,,0.19514859266673404,-0.2664858810672861,,,,,
02_129,-0.5184957667071158,,,,,,-0.27581666159683055,,,,,
02_130,-0.47722538250405777,,,,,,,,,,,
02_131,-0.4549465146953844,,,,,,-0.25095689417149747,,,,,
02_132,-0.4599639237522076,,,,,,-0.2702440643183041,,,,,
02_133,-0.4963115409825802,,,,,,-0.2715426501567016,,,,,
02_134,-0.48401295643167597,,,,,0.17449813324890645,-0.27155254305691395,,,,,
02_135,-0.4126568698312901,,,,,0.19648351845725875,-0.2544403875513723,,,,,
02_136,-0.44878093960353377,,,,,0.19938455498960864,-0.2561450805061051,,,,,
02_137,-0.38215973341527165,,,,,0.2291217799737768,,,,,,
02_138,-0.3486663814624324,,,,,0.25627627582938006,,,,,,
02_139,-0.33071185411482773,,,,,0.26695571169117416,,,,,,
02_140,-0.3246068024573752,,,,,0.25301223258944167,,,,,,
02_141,-0.3371483674808061,,,,,0.23213768750343777,,,,,,
02_142,-0.31337822838031454,,,,,0.2378792274016606,,,,,,
02_143,-0.3176756839794644,,,,,0.25430899756543496,,,,,,
02_144,,,,,,0.2485818077156803,,,,,,
02_145,-0.30479787031434763,,,,,0.23616364804021547,,,,,,
02_146,-0.31142491907438435,,,,,0.21983464844295453,,,,,,
02_147,-0.33854948587883305,,,,,0.2165951397020816,,,,,,
02_148,-0.38552131915060434,,,,,0.18116139910605147,-0.25587919792385805,,,,,
02_149,-0.32999662507615596,,,,,0.19462511906381558,-0.24402543739148277,,,,,
02_150,-0.3098779757534954,,0.294573228572329,,,0.1981169773098279,,,,,,
02_151,-0.3059949530992423,,,,,0.21162157578885035,,,,,,
02_152,-0.30483040217304314,,,,,0.222184646400459,,,,,,
02_153,-0.3022942356469515,,,,,0.22374542326876976,,,,,,
02_154,-0.3032430289011002,,0.288427329684302,,,0.2147864911621221,,,,,,
02_155,-0.30069241050476603,,,,,0.22420075209318913,,,,,,
02_156,,,,,,0.22902088345981056,,,,,,
02_157,,,,,,0.22948501842187494,,,,,,
02_158,,,,,,0.23289158710972555,,,,,,
02_159,-0.30120471148626043,,,,,0.23491666583342308,,,,,,
02_160,,,,,,0.24497415283694607,,,,,,
02_161,,,,,,0.23943092735758129,,,,,,
02_162,,,,,,0.24445976059978444,,,,,,
02_163,,,,,,0.2529933906932088,,,,,,
02_164,,,,,,0.2683291505625388,,,,,,
02_165,,,,,,0.252691744509398,,,,,,
02_166,,,,,,0.24902843208093647,,,,,,
02_167,,,,,,0.2366034394858268,,,,,,
02_168,,,,,,0.24178517433220034,,,,,,
02_169,,,,,,0.24847719924730585,,,,,,
02_170,,,,,,0.2515195660646094,,,,,,
02_171,,,,,,0.24153944089702153,,,,,,
02_172,,,,,,0.24235885347925115,,,,,,
02_173,,,,,,0.2332789740864035,,,,,,
03_001,-0.30172938961530327,,,,,0.2215420984407942,,,,,,
03_002,-0.30671422575895885,,0.3052972195717187,,,0.21377664168377838,,,,,,
03_003,-0.30436801159102156,,0.29667701073430386,,,0.21604994462079177,,,,,,
03_004,-0.3044556913559508,,0.3126757172584247,,,0.20893554649449345,,,,,,
03_005,-0.3033286356521199,,0.32928930979408244,,,0.20714430041271234,,,,,,
03_006,-0.30850845616175854,,0.2978842636497283,,,0.2160551235964037,,,,,,
03_007,-0.3051311185514948,,,,,0.22004728208063704,,,,,,
03_008,,,,,,0.225526906030324,,,,,,
03_009,,,,,,0.22988722700966024,,,,,,
03_010,,,,,,0.23617725339911866,,,,,,
03_011,,,,,,0.23049040247992397,,,,,,
03_012,,,,,,0.24141795862791907,,,,,,
03_013,,,,,,0.23721806607955725,,,,,,
03_014,,,,,,0.24312852653685518,,,,,,
03_015,,,,,,0.24909934523793553,,,,,,
03_016,,,,,,0.2602798972484934,,,,,,
03_017,,,,,,0.2497722434532271,,,,,,
03_018,,,,,,0.2593829641366332,,,,,,
03_019,,,,,,0.27169746879067136,,,,,,
03_020,,,,,,0.28547146219874436,,,,,,
03_021,,,,,,0.27508985305020833,,,,,,
03_022,,,,,,0.2625272934992518,,,,,,
03_023,,,,,,0.2380083566652566,,,,,,
03_024,,,0.3182362829926412,,,0.21152091687425364,,,,,,0.23037514814389087
03_025,,,,,,0.23018110406340908,,,,,,0.3822503159473648
03_026,,,,,,0.1805747580310402,,,,,,0.29877431980247954
03_027,,,,,,0.17168759513354795,,,,,,0.2845876567739427
03_028,,,,,,0.16457340378530774,,,,,,0.27545115858153185
03_029,,,,,,0.17810170167215675,,,,,0.11459049069941141,0.29876614201616764
03_030,,,,,,0.1873364429874415,,,,,0.1176957768209282,0.3135066487326007
