Tag,Distance_Center,Nationality_Italy,Nationality_Spain,Education_University,Nationality_UK,POI_Restaurants_Hotels,Rent_Number_Flats,Intercept
02_138,-0.46429301470875356,,,,,0.25021278635930055,,
02_139,-0.43211212805975907,,,,,0.26243351439215773,,
02_140,-0.42188228669712036,,,,,0.24922940218628864,,
02_141,-0.42808915803639486,,,,,0.2316895897662021,,
02_142,-0.3799472432479407,,,,,0.23983395329449952,,
02_143,-0.4008675811740705,,,,,0.25332273675869604,,
02_144,-0.38032075051353254,,,,,0.2494345660038818,,
02_145,,,,,,0.23642667827158603,,
02_146,,,,,,0.2271313946847781,,
02_147,-0.416383539130971,,,,,0.2197562873838302,,
02_148,-0.4304367697771702,,,-0.34091690472376535,0.23743461853647646,,,
02_149,,,,,,,,
02_150,,,,,0.2371511259026512,0.21808289352184151,,0.31458400909857465
02_151,,,,,,0.220854115842653,,0.3149093938477752
02_152,,,,,,0.22595820610496326,,
02_153,,,,,,0.22502133271693409,,
02_154,,,,,,0.218434752965083,,0.3567444428918001
02_155,,,,,,0.22688991175583106,,0.34006829342740297
02_156,,,,,,0.23348527379127856,,
02_157,,,,,,0.23280051472456176,,
02_158,,,,,,0.23523550893585235,,
02_159,,,,,,0.23434240084646135,,
02_160,,,,,,0.24532150447656412,,
02_161,,,,,,0.24270808657558915,,
02_162,,,,,,0.2436205936503195,,
02_163,,,,,,0.25507798136001114,,
02_164,,,,,,0.2820759296173301,,
02_165,,,,,,0.2526529488885711,,
02_166,,,,,,0.24640766043362178,,
02_167,,,,,,0.2403527446466406,,
02_168,,,,,,0.2384347027530165,,
02_169,,,,,,0.24213517081509608,,
02_170,,,,,,0.24524454368290133,,
02_171,,,,,,0.2361526997954821,,
02_172,,,,,,0.23807721400445367,,
02_173,,,,,,0.2340906806501133,,
03_001,,,,,,0.22567600433021728,,0.36280499797095495
03_002,,,,,,0.21897427279292825,,0.37610972709305196
03_003,,,,,,0.22053652316339062,,0.36668033203441086
03_004,,,,,,0.21599792691050523,,0.36454774026684594
03_005,,,,,,0.20780814170521375,,0.3708646068126302
03_006,,,,,,0.22082831970389635,,0.3831481956114128
03_007,,,,,,0.22576008479339948,,0.36898288560514275
03_008,,,,,,0.22862869802445893,,0.365897912866595
03_009,,,,,,0.2315207838232863,,
03_010,,,,,,0.23326099556654298,,
03_011,,,,,,0.2310007802666425,,
03_012,,,,,,0.23564888309552648,,
03_013,,,,,,0.23289833298154572,,
03_014,,,,,,0.23552880448378682,,
03_015,,,,,,0.2401187980856349,,
03_016,,,,,,0.2461105199404853,,
03_017,,,,,,0.23774492549545012,,
03_018,,,,,,0.2425591495806725,,
03_019,,,,,,0.2587962069459093,,
03_020,,,,,,0.2852440229885452,,
03_021,,,,,,0.26427161307609026,,
03_022,,,,,,0.2443915835696237,,
03_023,,,,,,0.23229122255743048,,0.42341807782824237
03_024,,,,,,,,0.31409608179781806
03_025,,,,,0.3056703642616532,,,0.46003051701708414
03_026,,,,,0.25788067606769954,,,0.3514584664314664
03_027,,,,,0.2555643517033926,,,0.3352241414003558
03_028,,,,,0.2559479695078521,,,0.32674016670389733
03_029,,,,,0.26227654800619116,,,0.3545929774522888
03_030,,,,,0.26742162285290905,,,0.38759324816177576
03_031,,,,,0.27929188382993053,,,0.41910478236647636
03_032,,,,,0.291028348178695,,,0.44159889615466785
03_033,,,,,0.2744033721888877,,,0.3884471391507759
03_034,,,,,0.2722649109052904,,,0.39363917767863554
03_035,,,,,0.26374545381533687,,,0.35767821596808896
03_036,,,,,0.2560827898369595,,,0.31564772378581013
03_037,,,,,0.2661986142037968,,,0.3637798009383626
03_038,,,,,0.28833180404057385,,,0.4032810208364745
03_039,,,,,0.26800567781434986,,,0.35194512329245836
03_040,,,,,0.2641242548111795,,,0.32227498876547966
03_041,,,,,0.2685796409420452,,,0.2979555340221102
03_042,,,,,0.2744237750329693,,,0.29803760891722975
03_043,,,,,0.27004458829139805,,,0.282358909015198
03_044,,,,,0.2706758178313943,,,0.25339810957390846
03_045,,,,,0.27205057292502655,,,0.27935398446247706
03_046,,,,,0.26879331299327236,,,0.2505141456600419
03_047,,,,,0.25805174451642676,,,
03_048,-0.5017882609191856,,,-0.36524531993048,0.2728169627305514,,,
03_049,-0.4557169045933576,,,,0.276022530587008,0.20320258958265586,,
