Sexo;Sección;Edad (grupos quinquenales);Total
Ambos Sexos;0801905040;Total;1.446
Ambos Sexos;0801905041;Total;1.806
Ambos Sexos;0801905042;Total;1.284
Ambos Sexos;0801905043;Total;1.470
Ambos Sexos;0801905044;Total;1.322
Ambos Sexos;0801905045;Total;1.554
Ambos Sexos;0801905046;Total;1.136
Ambos Sexos;0801905047;Total;1.284
Ambos Sexos;0801905048;Total;1.268
Ambos Sexos;0801905049;Total;1.664
Ambos Sexos;0801905050;Total;1.703
Ambos Sexos;0801905051;Total;1.634
Ambos Sexos;0801905052;Total;1.505
Ambos Sexos;0801905053;Total;1.541
Ambos Sexos;0801905054;Total;1.032
Ambos Sexos;0801905055;Total;1.439
Ambos Sexos;0801905056;Total;1.236
Ambos Sexos;0801905057;Total;1.717
Ambos Sexos;0801905058;Total;1.573
Ambos Sexos;0801905059;Total;1.637
Ambos Sexos;0801905060;Total;1.132
Ambos Sexos;0801905061;Total;1.444
Ambos Sexos;0801905062;Total;1.581
Ambos Sexos;0801905063;Total;1.588
Ambos Sexos;0801905064;Total;1.591
Ambos Sexos;0801905065;Total;1.671
Ambos Sexos;0801905066;Total;1.210
Ambos Sexos;0801905067;Total;1.339
Ambos Sexos;0801905068;Total;1.547
Ambos Sexos;0801905069;Total;1.782
Ambos Sexos;0801905070;Total;1.461
Ambos Sexos;0801905071;Total;1.619
Ambos Sexos;0801905072;Total;1.679
Ambos Sexos;0801905073;Total;1.642
Ambos Sexos;0801905074;Total;1.722
Ambos Sexos;0801905075;Total;1.769
Ambos Sexos;0801905076;Total;1.389
Ambos Sexos;0801905077;Total;1.479
Ambos Sexos;0801905078;Total;2.097
Ambos Sexos;0801905079;Total;1.243
Ambos Sexos;0801905080;Total;1.368
Ambos Sexos;0801905081;Total;1.617
Ambos Sexos;0801905082;Total;1.689
Ambos Sexos;0801905083;Total;1.297
Ambos Sexos;0801905084;Total;1.335
Ambos Sexos;0801905085;Total;1.354
Ambos Sexos;0801905086;Total;1.305
Ambos Sexos;0801905087;Total;1.529
Ambos Sexos;0801905088;Total;1.731
Ambos Sexos;0801905089;Total;1.714
Ambos Sexos;0801905090;Total;1.884
Ambos Sexos;0801905091;Total;1.519
Ambos Sexos;0801905092;Total;1.556
Ambos Sexos;0801905093;Total;1.162
Ambos Sexos;0801905094;Total;2.551
Ambos Sexos;0801905095;Total;1.637
Ambos Sexos;0801905096;Total;1.118
Ambos Sexos;0801905097;Total;1.575
Ambos Sexos;0801905098;Total;1.529
Ambos Sexos;0801906001;Total;1.096
Ambos Sexos;0801906002;Total;1.460
Ambos Sexos;0801906003;Total;2.231
Ambos Sexos;0801906004;Total;1.424
Ambos Sexos;0801906006;Total;998
Ambos Sexos;0801906007;Total;1.947
Ambos Sexos;0801906008;Total;1.938
Ambos Sexos;0801906009;Total;1.205
Ambos Sexos;0801906010;Total;1.055
Ambos Sexos;0801906011;Total;1.297
Ambos Sexos;0801906012;Total;1.108
Ambos Sexos;0801906013;Total;1.729
Ambos Sexos;0801906014;Total;1.374
Ambos Sexos;0801906015;Total;1.390
Ambos Sexos;0801906016;Total;1.584
Ambos Sexos;0801906017;Total;1.335
Ambos Sexos;0801906018;Total;1.293
Ambos Sexos;0801906019;Total;1.491
Ambos Sexos;0801906020;Total;1.120
Ambos Sexos;0801906021;Total;1.339
Ambos Sexos;0801906022;Total;1.338
Ambos Sexos;0801906023;Total;1.355
Ambos Sexos;0801906024;Total;1.642
Ambos Sexos;0801906025;Total;1.410
Ambos Sexos;0801906026;Total;1.005
Ambos Sexos;0801906027;Total;1.192
Ambos Sexos;0801906028;Total;1.322
Ambos Sexos;0801906029;Total;1.221
Ambos Sexos;0801906030;Total;1.335
Ambos Sexos;0801906031;Total;1.096
Ambos Sexos;0801906032;Total;1.154
Ambos Sexos;0801906033;Total;1.298
Ambos Sexos;0801906034;Total;1.279
Ambos Sexos;0801906035;Total;1.013
Ambos Sexos;0801906036;Total;1.442
Ambos Sexos;0801906037;Total;1.125
Ambos Sexos;0801906038;Total;1.477
Ambos Sexos;0801906039;Total;1.602
Ambos Sexos;0801906040;Total;1.625
Ambos Sexos;0801906041;Total;1.714
Ambos Sexos;0801906042;Total;1.761
Ambos Sexos;0801906043;Total;1.304
Ambos Sexos;0801906044;Total;1.480
Ambos Sexos;0801906045;Total;1.313
Ambos Sexos;0801906046;Total;1.141
Ambos Sexos;0801906047;Total;1.675
Ambos Sexos;0801906048;Total;1.383
Ambos Sexos;0801906049;Total;1.124
Ambos Sexos;0801906050;Total;1.252
Ambos Sexos;0801906051;Total;1.322
Ambos Sexos;0801906052;Total;1.565
Ambos Sexos;0801906053;Total;1.468
Ambos Sexos;0801906054;Total;1.624
Ambos Sexos;0801906055;Total;1.415
Ambos Sexos;0801906056;Total;1.575
Ambos Sexos;0801906057;Total;1.499
Ambos Sexos;0801906058;Total;1.594
Ambos Sexos;0801906059;Total;1.490
Ambos Sexos;0801906060;Total;1.781
Ambos Sexos;0801906061;Total;1.341
Ambos Sexos;0801906062;Total;1.310
Ambos Sexos;0801906063;Total;1.542
Ambos Sexos;0801906064;Total;1.927
Ambos Sexos;0801906065;Total;1.208
Ambos Sexos;0801906066;Total;989
Ambos Sexos;0801906067;Total;1.766
Ambos Sexos;0801906068;Total;1.543
Ambos Sexos;0801906069;Total;1.101
Ambos Sexos;0801906070;Total;1.855
Ambos Sexos;0801906071;Total;1.065
Ambos Sexos;0801906072;Total;1.610
Ambos Sexos;0801906073;Total;1.379
Ambos Sexos;0801906074;Total;1.123
Ambos Sexos;0801906075;Total;1.089
Ambos Sexos;0801906076;Total;1.303
Ambos Sexos;0801906077;Total;1.179
Ambos Sexos;0801906078;Total;1.324
Ambos Sexos;0801906079;Total;1.089
Ambos Sexos;0801906080;Total;1.145
Ambos Sexos;0801906081;Total;1.289
Ambos Sexos;0801906082;Total;1.808
Ambos Sexos;0801906083;Total;1.706
Ambos Sexos;0801906084;Total;1.507
Ambos Sexos;0801906085;Total;1.274
Ambos Sexos;0801906086;Total;990
Ambos Sexos;0801906087;Total;1.856
Ambos Sexos;0801906088;Total;1.204
Ambos Sexos;0801907001;Total;1.568
Ambos Sexos;0801907002;Total;1.143
Ambos Sexos;0801907003;Total;1.321
Ambos Sexos;0801907004;Total;1.483
Ambos Sexos;0801907005;Total;1.502
Ambos Sexos;0801907006;Total;946
Ambos Sexos;0801907007;Total;1.402
Ambos Sexos;0801907008;Total;1.437
Ambos Sexos;0801907009;Total;1.188
Ambos Sexos;0801907010;Total;1.316
Ambos Sexos;0801907011;Total;1.132
