"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Edat any a any","Nombre"
2017,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home","3 anys",156
2017,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home","3 anys",204
2017,2,"Eixample",10,"Sant Antoni","Home","3 anys",168
2017,3,"Sants-Montjuïc",11,"el Poble Sec","Home","3 anys",179
2017,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home","3 anys",8
2017,3,"Sants-Montjuïc",13,"la Marina de Port","Home","3 anys",122
2017,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home","3 anys",33
2017,3,"Sants-Montjuïc",15,"Hostafrancs","Home","3 anys",75
2017,3,"Sants-Montjuïc",16,"la Bordeta","Home","3 anys",70
2017,3,"Sants-Montjuïc",17,"Sants - Badal","Home","3 anys",83
2017,3,"Sants-Montjuïc",18,"Sants","Home","3 anys",168
2017,4,"Les Corts",19,"les Corts","Home","3 anys",196
2017,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home","3 anys",108
2017,4,"Les Corts",21,"Pedralbes","Home","3 anys",45
2017,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home","3 anys",40
2017,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home","3 anys",152
2017,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home","3 anys",95
2017,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Home","3 anys",130
2017,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Home","3 anys",204
2017,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Home","3 anys",134
2017,6,"Gràcia",28,"Vallcarca i els Penitents","Home","3 anys",68
2017,6,"Gràcia",29,"el Coll","Home","3 anys",36
2017,6,"Gràcia",30,"la Salut","Home","3 anys",63
2017,6,"Gràcia",31,"la Vila de Gràcia","Home","3 anys",219
2017,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Home","3 anys",148
2017,7,"Horta-Guinardó",33,"el Baix Guinardó","Home","3 anys",90
2017,7,"Horta-Guinardó",34,"Can Baró","Home","3 anys",25
2017,7,"Horta-Guinardó",35,"el Guinardó","Home","3 anys",148
2017,7,"Horta-Guinardó",36,"la Font d'en Fargues","Home","3 anys",32
2017,7,"Horta-Guinardó",37,"el Carmel","Home","3 anys",131
2017,7,"Horta-Guinardó",38,"la Teixonera","Home","3 anys",52
2017,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Home","3 anys",37
2017,7,"Horta-Guinardó",40,"Montbau","Home","3 anys",9
2017,7,"Horta-Guinardó",41,"la Vall d'Hebron","Home","3 anys",32
2017,7,"Horta-Guinardó",42,"la Clota","Home","3 anys",7
2017,7,"Horta-Guinardó",43,"Horta","Home","3 anys",118
2017,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Home","3 anys",104
2017,8,"Nou Barris",45,"Porta","Home","3 anys",112
2017,8,"Nou Barris",46,"el Turó de la Peira","Home","3 anys",72
2017,8,"Nou Barris",47,"Can Peguera","Home","3 anys",6
2017,8,"Nou Barris",48,"la Guineueta","Home","3 anys",59
2017,8,"Nou Barris",49,"Canyelles","Home","3 anys",27
2017,8,"Nou Barris",50,"les Roquetes","Home","3 anys",73
2017,8,"Nou Barris",51,"Verdun","Home","3 anys",56
2017,8,"Nou Barris",52,"la Prosperitat","Home","3 anys",111
2017,8,"Nou Barris",53,"la Trinitat Nova","Home","3 anys",36
2017,8,"Nou Barris",54,"Torre Baró","Home","3 anys",22
2017,8,"Nou Barris",55,"Ciutat Meridiana","Home","3 anys",63
2017,8,"Nou Barris",56,"Vallbona","Home","3 anys",7
2017,9,"Sant Andreu",57,"la Trinitat Vella","Home","3 anys",52
2017,9,"Sant Andreu",58,"Baró de Viver","Home","3 anys",12
2017,9,"Sant Andreu",59,"el Bon Pastor","Home","3 anys",61
2017,9,"Sant Andreu",60,"Sant Andreu","Home","3 anys",269
2017,9,"Sant Andreu",61,"la Sagrera","Home","3 anys",114
2017,9,"Sant Andreu",62,"el Congrés i els Indians","Home","3 anys",66
2017,9,"Sant Andreu",63,"Navas","Home","3 anys",93
2017,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Home","3 anys",150
2017,10,"Sant Martí",65,"el Clot","Home","3 anys",96
2017,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Home","3 anys",70
2017,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Home","3 anys",43
2017,10,"Sant Martí",68,"el Poblenou","Home","3 anys",179
2017,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Home","3 anys",123
2017,10,"Sant Martí",70,"el Besòs i el Maresme","Home","3 anys",102
2017,10,"Sant Martí",71,"Provençals del Poblenou","Home","3 anys",107
2017,10,"Sant Martí",72,"Sant Martí de Provençals","Home","3 anys",111
2017,10,"Sant Martí",73,"la Verneda i la Pau","Home","3 anys",108
2017,1,"Ciutat Vella",1,"el Raval","Home","4 anys",235
2017,1,"Ciutat Vella",2,"el Barri Gòtic","Home","4 anys",55
2017,1,"Ciutat Vella",3,"la Barceloneta","Home","4 anys",45
2017,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home","4 anys",81
2017,2,"Eixample",5,"el Fort Pienc","Home","4 anys",150
2017,2,"Eixample",6,"la Sagrada Família","Home","4 anys",206
2017,2,"Eixample",7,"la Dreta de l'Eixample","Home","4 anys",176
2017,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home","4 anys",164
2017,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home","4 anys",228
2017,2,"Eixample",10,"Sant Antoni","Home","4 anys",128
2017,3,"Sants-Montjuïc",11,"el Poble Sec","Home","4 anys",163
2017,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home","4 anys",5
2017,3,"Sants-Montjuïc",13,"la Marina de Port","Home","4 anys",115
2017,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home","4 anys",36
2017,3,"Sants-Montjuïc",15,"Hostafrancs","Home","4 anys",63
2017,3,"Sants-Montjuïc",16,"la Bordeta","Home","4 anys",80
2017,3,"Sants-Montjuïc",17,"Sants - Badal","Home","4 anys",100
2017,3,"Sants-Montjuïc",18,"Sants","Home","4 anys",186
2017,4,"Les Corts",19,"les Corts","Home","4 anys",205
2017,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home","4 anys",106
2017,4,"Les Corts",21,"Pedralbes","Home","4 anys",60
2017,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home","4 anys",24
2017,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home","4 anys",168
2017,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home","4 anys",101
2017,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Home","4 anys",145
2017,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Home","4 anys",202
2017,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Home","4 anys",139
2017,6,"Gràcia",28,"Vallcarca i els Penitents","Home","4 anys",69
2017,6,"Gràcia",29,"el Coll","Home","4 anys",32
2017,6,"Gràcia",30,"la Salut","Home","4 anys",60
2017,6,"Gràcia",31,"la Vila de Gràcia","Home","4 anys",224
2017,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Home","4 anys",143
2017,7,"Horta-Guinardó",33,"el Baix Guinardó","Home","4 anys",100
2017,7,"Horta-Guinardó",34,"Can Baró","Home","4 anys",49
2017,7,"Horta-Guinardó",35,"el Guinardó","Home","4 anys",156
2017,7,"Horta-Guinardó",36,"la Font d'en Fargues","Home","4 anys",36
2017,7,"Horta-Guinardó",37,"el Carmel","Home","4 anys",136
2017,7,"Horta-Guinardó",38,"la Teixonera","Home","4 anys",34
2017,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Home","4 anys",29
2017,7,"Horta-Guinardó",40,"Montbau","Home","4 anys",24
2017,7,"Horta-Guinardó",41,"la Vall d'Hebron","Home","4 anys",14
2017,7,"Horta-Guinardó",42,"la Clota","Home","4 anys",3
2017,7,"Horta-Guinardó",43,"Horta","Home","4 anys",110
2017,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Home","4 anys",112
2017,8,"Nou Barris",45,"Porta","Home","4 anys",105
2017,8,"Nou Barris",46,"el Turó de la Peira","Home","4 anys",91
2017,8,"Nou Barris",47,"Can Peguera","Home","4 anys",8
2017,8,"Nou Barris",48,"la Guineueta","Home","4 anys",61
2017,8,"Nou Barris",49,"Canyelles","Home","4 anys",23
2017,8,"Nou Barris",50,"les Roquetes","Home","4 anys",59
2017,8,"Nou Barris",51,"Verdun","Home","4 anys",66
2017,8,"Nou Barris",52,"la Prosperitat","Home","4 anys",104
2017,8,"Nou Barris",53,"la Trinitat Nova","Home","4 anys",41
2017,8,"Nou Barris",54,"Torre Baró","Home","4 anys",12
2017,8,"Nou Barris",55,"Ciutat Meridiana","Home","4 anys",62
2017,8,"Nou Barris",56,"Vallbona","Home","4 anys",5
2017,9,"Sant Andreu",57,"la Trinitat Vella","Home","4 anys",61
2017,9,"Sant Andreu",58,"Baró de Viver","Home","4 anys",16
2017,9,"Sant Andreu",59,"el Bon Pastor","Home","4 anys",71
2017,9,"Sant Andreu",60,"Sant Andreu","Home","4 anys",271
2017,9,"Sant Andreu",61,"la Sagrera","Home","4 anys",134
2017,9,"Sant Andreu",62,"el Congrés i els Indians","Home","4 anys",61
2017,9,"Sant Andreu",63,"Navas","Home","4 anys",73
